TERMINAL_N,LATITUDE,LONGITUDE
31200,38.9101,-77.0444
31603,38.9057,-77.0056
31212,38.9054,-77.0471
31213,38.90276,-77.03863
31604,38.9003,-77.016
31605,38.8851,-77.0023
31606,38.8803,-76.9862
31607,38.884,-76.9861
31214,38.9121,-77.0387
31300,38.944551,-77.063896
31503,38.9126,-77.0135
31608,38.8792,-76.9953
31301,38.938736,-77.087171
31302,38.934751,-77.074647
31402,38.947774,-77.032818
31804,38.865784,-76.9784
31805,38.873057,-76.971015
31610,38.886952,-76.996806
31216,38.899641,-77.032005
31705,38.894,-76.947974
31203,38.9086,-77.0323
31204,38.8963,-77.045
31205,38.9008,-77.047
31400,38.936043,-77.024649
31401,38.9375,-77.0328
31502,38.9346,-76.9955
31600,38.90304,-77.019027
31601,38.8896,-76.9769
31602,38.9308,-77.0315
31700,38.8601,-76.9672
31305,38.934267,-77.057979
31702,38.878,-76.9607
31703,38.897063,-76.947446
31704,38.9016,-76.9422
31801,38.8624,-76.9949
31802,38.867373,-76.988039
31206,38.8952,-77.0436
31500,38.919488,-77.000624
31111,38.9172,-77.0259
31207,38.9249,-77.0222
31209,38.8743,-77.0057
31110,38.9154,-77.0446
31109,38.9155,-77.0222
31013,38.853613,-77.053535
31208,38.8763,-77.0037
31217,38.887237,-77.028226
31215,38.902221,-77.059219
31501,38.933668,-76.991016
31220,38.894919,-77.046587
31218,38.886266,-77.022241
31219,38.893028,-77.026013
31211,38.895184,-77.054845
31613,38.884,-76.995397
31221,38.904742,-77.041606
31303,38.947607,-77.079382
31611,38.9003,-76.9882
31620,38.897222,-77.019347
31222,38.8991,-77.0337
31223,38.90572,-77.022264
31112,38.927872,-77.043358
31224,38.903407,-77.043648
31225,38.90375,-77.06269
31609,38.878925,-77.024016
31612,38.894758,-76.997114
31226,38.916442,-77.0682
31227,38.900283,-77.029822
31228,38.8997,-77.023086
31504,38.932514,-76.992889
31505,38.910972,-77.00495
31615,38.900384,-76.99831
31616,38.900017,-77.001967
31617,38.900413,-76.982872
31618,38.889955,-77.000349
31619,38.890461,-76.988355
31701,38.8692,-76.9599
31622,38.894832,-76.987633
31229,38.91554,-77.03818
31230,38.898364,-77.027869
31231,38.894514,-77.031617
31232,38.897324,-77.022322
31233,38.902061,-77.038322
31234,38.908905,-77.04478
31621,38.895344,-77.016106
31235,38.8923,-77.0436
31236,38.90774,-77.071652
31614,38.899983,-76.991383
31237,38.903827,-77.053485
31623,38.89696,-77.00493
31624,38.897446,-77.009888
31304,38.922581,-77.070334
31048,38.805767,-77.06072
31255,38.9066,-77.05152
31256,38.895914,-77.026064
31257,38.90088,-77.048911
31049,38.883669,-77.113905
31050,38.884961,-77.08777
31051,38.889365,-77.077294
31258,38.888251,-77.049426
31259,38.894722,-77.045128
31308,38.943837,-77.077078
31309,38.954812,-77.082426
31627,38.905707,-77.003041
31002,38.8564,-77.0492
31003,38.860244,-77.050276
31004,38.8573,-77.0574
31005,38.8604,-77.0603
31006,38.8637,-77.0633
31007,38.8573,-77.0511
31000,38.8561,-77.0512
31001,38.862179,-77.059986
31240,38.88412,-77.04657
31262,38.897857,-77.026975
31260,38.896104,-77.049882
31014,38.897315,-77.070993
31015,38.8946,-77.072305
31016,38.893648,-77.076701
31017,38.891696,-77.0846
31018,38.892164,-77.079375
31706,38.86559,-76.952103
31261,38.892459,-77.046567
31019,38.889,-77.0925
31113,38.920669,-77.04368
31239,38.906602,-77.038785
31241,38.9059,-77.0325
31020,38.8904,-77.0889
31021,38.8881,-77.09308
31022,38.88786,-77.094875
31242,38.89968,-77.041539
31243,38.887299,-77.018939
31244,38.88412,-77.017445
31625,38.881185,-77.001828
31245,38.912719,-77.022155
31404,38.9418,-77.0251
31506,38.915417,-77.012289
31115,38.928156,-77.02344
31116,38.917761,-77.04062
31707,38.889935,-76.93723
31307,38.930282,-77.055599
31708,38.896544,-76.96012
31246,38.905126,-77.056887
31626,38.88732,-76.983569
31806,38.844711,-76.987823
31035,38.876393,-77.107735
31033,38.8815,-77.10396
31029,38.896923,-77.086502
31263,38.90268,-77.02674
31023,38.885801,-77.097745
31027,38.896015,-77.078107
31628,38.87861,-77.006004
31306,38.922649,-77.077271
31507,38.928743,-77.012457
31024,38.882788,-77.103148
31025,38.88397,-77.10783
31026,38.884734,-77.093485
31247,38.888553,-77.032429
31248,38.888767,-77.02858
31036,38.87887,-77.1207
31028,38.893241,-77.086045
